INFO  2019-01-09 17:10:38,598 [10   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger/ui/abp.js'. Physical path: 'D:\VSproject\gitee\lygwys.BookList\src\booklist-aspnet-core\src\lygwys.BookList.Web.Host\wwwroot\swagger\ui\abp.js'
INFO  2019-01-09 17:10:38,612 [11   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger/ui/abp.swagger.js'. Physical path: 'D:\VSproject\gitee\lygwys.BookList\src\booklist-aspnet-core\src\lygwys.BookList.Web.Host\wwwroot\swagger\ui\abp.swagger.js'
INFO  2019-01-09 17:10:38,625 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 166.7326ms 200 application/javascript
INFO  2019-01-09 17:10:38,633 [11   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 145.782ms 200 application/javascript
INFO  2019-01-09 17:10:38,651 [12   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger-ui.css'. Physical path: 'N/A'
INFO  2019-01-09 17:10:38,699 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 215.3276ms 200 text/css
INFO  2019-01-09 17:10:38,717 [4    ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger-ui-standalone-preset.js'. Physical path: 'N/A'
INFO  2019-01-09 17:10:38,733 [4    ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 215.0397ms 200 application/javascript
INFO  2019-01-09 17:10:38,749 [10   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/swagger-ui-bundle.js'. Physical path: 'N/A'
INFO  2019-01-09 17:10:38,764 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 255.5155ms 200 application/javascript
INFO  2019-01-09 17:10:39,573 [10   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/v1/swagger.json  
INFO  2019-01-09 17:10:39,708 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request starting HTTP/1.1 GET http://localhost:21021/swagger/favicon-32x32.png  
INFO  2019-01-09 17:10:39,734 [12   ] NetCore.StaticFiles.StaticFileMiddleware - Sending file. Request path: '/favicon-32x32.png'. Physical path: 'N/A'
INFO  2019-01-09 17:10:39,749 [12   ] soft.AspNetCore.Hosting.Internal.WebHost - Request finished in 36.4971ms 200 image/png
